,District,Sub-District,Vaccination Site Name,Type of site,Pfizer or J&J,Start Date,Site Active (Yes/No),Open Days per week,Capacity per day
206,Amathole DM,Amahlathi LM,ec Wartburg Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,40.0
207,Amathole DM,Raymond Mhlaba LM,ec Washington Clinic,Clinic,J&J,2021-06-07 00:00:00,Yes,5 days,40.0
208,Amathole DM,Ngqushwa LM,ec Wesley Clinic,Clinic,J&J,2021-06-09 00:00:00,Yes,5 days,40.0
209,Amathole DM,Amahlathi LM,ec Zalara Clinic,Clinic,J&J,2020-07-09 00:00:00,Yes,5 days,40.0
210,Amathole DM,Mnquma LM,ec Zazulwana Clinic,Clinic,J&J,2020-07-15 00:00:00,Yes,5 days,40.0
211,N Mandela Bay MM,N Mandela B SD,ec Masakhane Clinic (N Mandela Metro),Clinic,Pfizer,2021-06-22 00:00:00,Yes,5 days,80.0
212,C Hani DM,Inxuba Yethemba LM,ec Middelburg Clinic,Clinic,Pfizer,2021-07-26 00:00:00,To start next week,5 days,80.0
213,C Hani DM,Inxuba Yethemba LM,ec Kwanonzame New Clinic,Clinic,Pfizer,2021-07-26 00:00:00,To start next week,5 days,80.0
214,C Hani DM,Inxuba Yethemba LM,ec Kwanonzame Old Clinic,Clinic,Pfizer,2021-07-26 00:00:00,To start next week,5 days,80.0
215,C Hani DM,Inxuba Yethemba LM,ec Midros Clinic,Clinic,Pfizer,2021-07-26 00:00:00,To start next week,5 days,80.0
216,Sarah Baartman DM,Dr B NaudÂ‚ LM,ec Willowmore Clinic,Clinic,J&J,2020-07-22 00:00:00,To start next week,5 days,80.0
217,Sarah Baartman DM,Dr B NaudÂ‚ LM,ec Rietbron Clinic,Clinic,J&J,2020-07-22 00:00:00,To start next week,5 days,80.0
218,Sarah Baartman DM,Kou-Kamma LM,ec Misgund Clinic,Clinic,Pfizer,2020-07-22 00:00:00,To start next week,5 days,80.0
219,Sarah Baartman DM,Kou-Kamma LM,ec Louterwater Clinic,Clinic,J&J,2020-07-22 00:00:00,To start next week,5 days,80.0
220,Sarah Baartman DM,Kou-Kamma LM,ec Krakeel Clinic,Clinic,J&J,2020-07-22 00:00:00,To start next week,5 days,80.0
221,O Tambo DM,King Sabata Dalindyebo LM,ec Zitulele Gateway Clinic,Clinic,J&J,2021-06-16 00:00:00,Yes,5 days,40.0
222,O Tambo DM,King Sabata Dalindyebo LM,ec Nzulwini Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
223,Amathole DM,Raymond Mhlaba LM,ec Zigodlo Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
224,Amathole DM,Raymond Mhlaba LM,ec Zihlahleni Clinic,Clinic,J&J,2021-07-08 00:00:00,Yes,5 days,40.0
225,O Tambo DM,King Sabata Dalindyebo LM,ec Zidindi Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
226,O Tambo DM,King Sabata Dalindyebo LM,ec Tshezi Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
227,O Tambo DM,King Sabata Dalindyebo LM,ec Mapuzi Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
228,Sarah Baartman DM,Kouga LM,ec Settlers day Hospital,Hospital,J&J,2021-07-09 00:00:00,Yes,5 days,
0,Cape Town MM,CT Western SD,4 Dorp Street City Centre,Temporary Outreach Site,J&J,2021-07-01 00:00:00,yes,5 days,500
1,Cape Town MM,CT Western SD,Alexandra Hospital,Primary vaccination site,Pfizer,2021-07-06 00:00:00,yes,5 days,300
2,Cape Town MM,CT Khayelitsha SD,Andile MsiziCommunity Hall,Temporary Outreach Site,Pfizer,2021-01-07 00:00:00,yes,5 days,400
3,Cape Town MM,CT Mitch Plain SD,Beaconvale Frail Care Centre,Temporary Outreach Site,Pfizer,2021-05-31 00:00:00,yes,5 days,250
4,Cape Town MM,CT Tygerberg SD,Bishop Lavis CDC,Primary vaccination site,Pfizer,2021-05-31 00:00:00,yes,5 days,100
5,Cape Town MM,CT Northern SD,Bothasig CDC,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,50
6,Cape Town MM,CT Western SD,Brooklyn Chest Hospital,Primary vaccination site,Pfizer,2021-05-17 00:00:00,yes,5 days,300
7,Cape Town MM,CT Tygerberg SD,CCT Adriaanse Clinic,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,100
8,Cape Town MM,CT Northern SD,CCT Brackenfell Hall,Temporary Outreach site,Pfizer,2021-05-17 00:00:00,yes,5 days,300
9,Cape Town MM,CT Tygerberg SD,CCT Chestnut Satellite Clinic,Temporary Outreach site,Pfizer,2021-05-24 00:00:00,yes,4 days,100
10,Cape Town MM,CT Eastern SD,CCT Eerste River Clinic,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,200
11,Cape Town MM,CT Eastern SD,CCT Ikhwezi CDC,Primary vaccination site,Pfizer,2021-06-02 00:00:00,yes,5 days,150
12,Cape Town MM,CT Khayelitsha SD,CCT Kuyasa Public Library,Temporary Outreach site,Pfizer,2021-05-24 00:00:00,yes,5 days,150
13,Cape Town MM,CT Southern SD,CCT Ocean View Civic Centre,Temporary Outreach site,Pfizer,2021-05-24 00:00:00,yes,5 days,100
14,Cape Town MM,CT Klipfontein SD,CCT Ruimte Road Satellite Clinic,Temporary Outreach site,Pfizer,2021-05-24 00:00:00,yes,5 days,100
15,Cape Town MM,CT Eastern SD,CCT Sarepta Clinic,Primary vaccination site,Pfizer,2021-06-03 00:00:00,yes,5 days,100
16,Cape Town MM,CT Eastern SD,CCT Sir Lowry's Pass CDC,Primary vaccination site,Pfizer,2021-06-02 00:00:00,yes,5 days,100
17,Cape Town MM,CT Mitch Plain SD,CCT Tafelsig Thusong Centre,Temporary Outreach site,Pfizer,2021-05-24 00:00:00,yes,5 days,100
18,Cape Town MM,CT Eastern SD,Charles Morkel Hall,Temporary Outreach site,Pfizer,2021-07-01 00:00:00,yes,5 days,200
19,Cape Town MM,CT Tygerberg SD,CPUT Bellville,Temporary Outreach Site,Pfizer,2021-07-06 00:00:00,yes,5 days,500
20,Cape Town MM,CT Mitch Plain SD,Crossroads Hall,Temporary Outreach site,Pfizer,2021-07-05 00:00:00,yes,5 days,150
21,Cape Town MM,CT Western SD,CTICC Vaccination Centre of Hope,Fixed Outreach site,Pfizer,2021-07-07 00:00:00,yes,5 days,4000
22,Cape Town MM,CT Tygerberg SD,Delft CHC,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,150
23,Cape Town MM,CT Tygerberg SD,Disa Hall Tygerberg Hospital,Temporary Outreach Site,J&J,2021-09-06 00:00:00,yes,5 days,800
24,Cape Town MM,CT Western SD,District Six CDC,Primary vaccination site,Pfizer,2021-01-06 00:00:00,yes,5 days,120
25,Cape Town MM,CT Southern SD,Dominican Grimley School Hall,Temporary Outreach site,Pfizer,2021-06-09 00:00:00,yes,5 days,240
26,Cape Town MM,CT Southern SD,DP Marais Hospital,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,350
27,Cape Town MM,CT Western SD,Du Noon CHC,Primary vaccination site,Pfizer,2021-06-01 00:00:00,yes,5 days,100
28,Cape Town MM,CT Northern SD,Durbanville CDC,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,50
29,Cape Town MM,CT Eastern SD,Eerste River Hospital,Primary vaccination site,Pfizer,2021-06-07 00:00:00,yes,5 days,200
30,Cape Town MM,CT Tygerberg SD,Elsies River CHC,Primary vaccination site,Pfizer,2021-05-31 00:00:00,yes,5 days,150
31,Cape Town MM,CT Southern SD,False Bay Hospital,Primary vaccination site,Pfizer,2021-05-31 00:00:00,yes,5 days,240
32,Cape Town MM,CT Eastern SD,Garden Village Hall Somerset West,Temporary Outreach site,Pfizer,2021-07-12 00:00:00,yes,5 days,150
33,Cape Town MM,CT Tygerberg SD,Goodwood Hall,Temporary Outreach Site,Pfizer,2021-07-02 00:00:00,yes,5 days,500
34,Cape Town MM,CT Klipfontein SD,Gugulethu CHC,Primary vaccination site,Pfizer,2021-05-31 00:00:00,yes,6 days,50
35,Cape Town MM,CT Eastern SD,Gustrouw CDC,Primary vaccination site,Pfizer,2021-05-31 00:00:00,yes,5 days,150
36,Cape Town MM,CT Klipfontein SD,Hanover Park CDC,Primary vaccination site,Pfizer,2021-05-17 00:00:00,yes,5 days,150
37,Cape Town MM,CT Klipfontein SD,Heideveld CHC,Primary vaccination site,Pfizer,2021-05-17 00:00:00,yes,5 days,50
38,Cape Town MM,CT Eastern SD,Helderberg Hospital,Primary vaccination site,Pfizer,2021-05-17 00:00:00,yes,5 days,200
39,Cape Town MM,CT Western SD,Hope Street Dental,Temporary Outreach Site,Pfizer,2021-05-24 00:00:00,yes,5 days,200
40,Cape Town MM,CT Klipfontein SD,Ikhwezi Community Hall,Temporary Outreach Site,Pfizer,2021-05-07 00:00:00,yes,5 days,200
41,Cape Town MM,CT Mitch Plain SD,Inzama Zabantu CDC,Primary vaccination site,Pfizer,2021-05-17 00:00:00,yes,5 days,100
42,Cape Town MM,CT Tygerberg SD,Karl Bremer Hospital,Primary vaccination site,Pfizer,2021-05-17 00:00:00,yes,5 days,200
43,Cape Town MM,CT Western SD,Kensington CDC,Primary vaccination site,Pfizer,2021-06-01 00:00:00,yes,5 days,100
44,Cape Town MM,CT Klipfontein SD,Kewtown New Apostolic Church,Temporary Outreach Site,Pfizer,2021-05-17 00:00:00,yes,5 days,150
45,Cape Town MM,CT Khayelitsha SD,Khayelitsha (Site B) CHC,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,100
46,Cape Town MM,CT Khayelitsha SD,Khayelitsha Hospital,Primary vaccination site,Pfizer,2021-02-17 00:00:00,yes,5 days,200
47,Cape Town MM,CT Eastern SD,Kleinvlei CDC,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,100
48,Cape Town MM,CT Eastern SD,Kleinvlei Recreational Hall,Temporary Outreach site,Pfizer,2021-07-01 00:00:00,yes,5 days,400
49,Cape Town MM,CT Southern SD,Lady Michaelis CDC,Primary vaccination site,Pfizer,2021-05-27 00:00:00,yes,5 days,210
50,Cape Town MM,CT Southern SD,Lansdowne Library Hall,Temporary Outreach site,Pfizer,2021-05-24 00:00:00,yes,5 days,100
51,Cape Town MM,CT Mitch Plain SD,Lentegeur Hospital Hall,Temporary Outreach Site,Pfizer,2021-05-17 00:00:00,yes,5 days,750
52,Cape Town MM,CT Southern SD,Lotus River CDC,Primary vaccination site,Pfizer,2021-05-25 00:00:00,yes,5 days,140
53,Cape Town MM,CT Eastern SD,Macassar CDC,Primary vaccination site,Pfizer,2021-05-31 00:00:00,yes,5 days,100
54,Cape Town MM,CT Eastern SD,Macassar New Civic,Temporary Outreach site,Pfizer,2021-07-05 00:00:00,yes,5 days,200
55,Cape Town MM,CT Western SD,Mamre CDC,Primary vaccination site,Pfizer,2021-05-28 00:00:00,yes,5 days,140
56,Cape Town MM,CT Eastern SD,Mfuleni CDC,Primary vaccination site,Pfizer,2021-05-31 00:00:00,yes,5 days,100
57,Cape Town MM,CT Khayelitsha SD,Michael Mapongwana CDC,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,150
58,Cape Town MM,CT Mitch Plain SD,Mitchells Plain CHC,Primary vaccination site,Pfizer,2021-05-17 00:00:00,yes,6 days,50
59,Cape Town MM,CT Klipfontein SD,New Apostolic Church,Temporary Outreach Site,Pfizer,2021-05-31 00:00:00,yes,5 days,200
60,Cape Town MM,CT Western SD,New Somerset Hospital,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,200
61,Cape Town MM,CT Khayelitsha SD,Nolungile CDC,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,50
62,Cape Town MM,CT Eastern SD,Nomzamo CDC,Primary vaccination site,Pfizer,2021-05-31 00:00:00,yes,5 days,30
63,Cape Town MM,CT Eastern SD,Nomzamo Community Hall,Temporary Outreach site,Pfizer,2021-07-01 00:00:00,yes,2 days,200
64,Cape Town MM,CT Klipfontein SD,Nyanga CDC,Primary vaccination site,Pfizer,2021-05-17 00:00:00,yes,5 days,150
65,Cape Town MM,CT Tygerberg SD,Ravensmead CDC,Primary vaccination site,Pfizer,2021-05-31 00:00:00,yes,5 days,50
66,Cape Town MM,CT Tygerberg SD,Reed Street CDC,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,50
67,Cape Town MM,CT Southern SD,Retreat CHC,Primary vaccination site,Pfizer,2021-06-03 00:00:00,yes,5 days,240
68,Cape Town MM,CT Western SD,Saxonsea Community Hall,Temporary Outreach Site,Pfizer,2021-07-06 00:00:00,yes,5 days,250
69,Cape Town MM,CT Northern SD,Scottsdene CDC,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,50
70,Cape Town MM,CT Khayelitsha SD,Solomon Tshuku Hall,Temporary Outreach Site,Pfizer,2021-07-01 00:00:00,yes,5 days,300
71,Cape Town MM,CT Eastern SD,Somerset West Civic - Town Hall,Temporary Outreach site,Pfizer,2021-07-12 00:00:00,yes,5 days,500
72,Cape Town MM,CT Tygerberg SD,Stikland Hospital,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,0
73,Cape Town MM,CT Eastern SD,Strand CDC,Primary vaccination site,Pfizer,2021-05-31 00:00:00,yes,5 days,20
74,Cape Town MM,CT Tygerberg SD,Symphony Way CDC,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,100
75,Cape Town MM,CT Tygerberg SD,University of the Western Cape vaccine site,Temporary Outreach Site,Pfizer,2021-08-06 00:00:00,yes,5 days,300
76,Cape Town MM,CT Western SD,Vanguard CHC,Primary vaccination site,Pfizer,2021-06-04 00:00:00,yes,5 days,100
77,Cape Town MM,CT Western SD,West EMS Pinelands,Fixed Outreach site,J&J,2021-05-31 00:00:00,yes,5 days,500
78,Cape Winelands,Breede Valley Municipality,De Doorns Clinic,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,5 days,50
79,Cape Winelands,Breede Valley Municipality,Empilisweni (Worcester) Clinic,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,5 days,50
80,Cape Winelands,Breede Valley Municipality,Rawsonville Clinic,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,5 days,30
81,Cape Winelands,Breede Valley Municipality,Worcester Town Hall,Temporary outreach site,Pfizer,2021-05-31 00:00:00,yes,5 days,200
82,Cape Winelands,Breede Valley Municipality,Touws River Clinic,Temporary outreach site,Pfizer,2021-05-31 00:00:00,Yes,5 days,20
83,Cape Winelands,Breede Valley Municipality,Orchard Clinic,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,5 days,20
84,Cape Winelands,Breede Valley Municipality,Sandhills Clinic,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,5 days,20
85,Cape Winelands,Breede Valley Municipality,Rawsonville VGK Church Hall,Temporary outreach site,Pfizer,2021-07-12 00:00:00,Yes,1 day,150
86,Cape Winelands,Drakenstein Municipality,Dalvale Clinic,Primary vaccination site,Pfizer,2021-07-05 00:00:00,Yes,5 days,30
87,Cape Winelands,Drakenstein Municipality,Gouda Clinic,Primary vaccination site,Pfizer,2021-06-28 00:00:00,Yes,5 days,30
88,Cape Winelands,Drakenstein Municipality,Huis McCrone Clinic,Primary vaccination site,Pfizer,2021-06-07 00:00:00,Yes,5 days,100
89,Cape Winelands,Drakenstein Municipality,Klein Drakenstein Clinic,Primary vaccination site,Pfizer,2021-07-05 00:00:00,Yes,5 days,30
90,Cape Winelands,Drakenstein Municipality,Nieuwedrift Clinic,Primary vaccination site,Pfizer,2021-07-05 00:00:00,Yes,5 days,30
91,Cape Winelands,Drakenstein Municipality,Patriot Plein Clinic,Primary vaccination site,Pfizer,2021-07-05 00:00:00,Yes,5 days,30
92,Cape Winelands,Drakenstein Municipality,Phola Park Clinic,Primary vaccination site,Pfizer,2021-07-05 00:00:00,Yes,5 days,30
93,Cape Winelands,Drakenstein Municipality,Saron Clinic,Primary vaccination site,Pfizer,2021-06-28 00:00:00,Yes,5 days,30
94,Cape Winelands,Drakenstein Municipality,Simondium Clinic,Primary vaccination site,Pfizer,2021-07-05 00:00:00,Yes,5 days,30
95,Cape Winelands,Drakenstein Municipality,Soetendal Clinic,Primary vaccination site,Pfizer,2021-07-05 00:00:00,Yes,5 days,30
96,Cape Winelands,Drakenstein Municipality,TC Newman CDC,Primary vaccination site,Pfizer,2021-05-31 00:00:00,yes,6 days,300
97,Cape Winelands,Drakenstein Municipality,Wellington CDC,Primary vaccination site,Pfizer,2021-07-12 00:00:00,Yes,5 days,150
98,Cape Winelands,Drakenstein Municipality,Windmeul Clinic,Primary vaccination site,Pfizer,2021-07-05 00:00:00,Yes,5 days,30
99,Cape Winelands,Drakenstein Municipality,Mbekweni Community Hall,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,5 days,150
100,Cape Winelands,Drakenstein Municipality,Thusong Centre Phola Park,Temporary outreach site,Pfizer,2021-07-05 00:00:00,Yes,5 days,150
101,Cape Winelands,Langeberg Municipality,Cogmanskloof Clinic,Primary vaccination site,Pfizer,2021-07-12 00:00:00,Yes,5 days,20
102,Cape Winelands,Langeberg Municipality,Zolani Clinic,Primary vaccination site,Pfizer,2021-06-21 00:00:00,Yes,5 days,20
103,Cape Winelands,Langeberg Municipality,Montagu Clinic,Primary vaccination site,Pfizer,2021-06-07 00:00:00,Yes,5 days,30
104,Cape Winelands,Langeberg Municipality,McGregor Clinic,Primary vaccination site,Pfizer,2021-07-05 00:00:00,Yes,5 days,20
105,Cape Winelands,Langeberg Municipality,Happy Valley Clinic,Primary vaccination site,Pfizer,2021-07-05 00:00:00,Yes,5 days,20
106,Cape Winelands,Langeberg Municipality,Callie de Wet Hall,Temporary outreach site,Pfizer,2021-05-31 00:00:00,yes,5 days,300
107,Cape Winelands,Langeberg Municipality,Chris Van Zyl Hall,Temporary outreach site,Pfizer,2021-07-01 00:00:00,Yes,1 day,300
108,Cape Winelands,Langeberg Municipality,Montagu Community Hall,Temporary outreach site,Pfizer,2021-07-12 00:00:00,Yes,1 day,100
109,Cape Winelands,Langeberg Municipality,Ashton Town Hall,Temporary outreach site,Pfizer,2021-07-12 00:00:00,Yes,1 day,100
110,Cape Winelands,Stellenbosch Municipality,Cloetesville CDC,Primary vaccination site,Pfizer,2021-06-07 00:00:00,Yes,5 days,50
111,Cape Winelands,Stellenbosch Municipality,Kayamandi Clinic,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,5 days,10
112,Cape Winelands,Stellenbosch Municipality,Idas Valley Clinic,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,5 days,50
113,Cape Winelands,Stellenbosch Municipality,Kylemore Clinic,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,5 days,30
114,Cape Winelands,Stellenbosch Municipality,Don and Pat Bilton Clinic,Temporary outreach site,Pfizer,2021-07-05 00:00:00,Yes,5 days,30
115,Cape Winelands,Stellenbosch Municipality,Klapmuts Multi-Purpose Centre,Temporary outreach site,Pfizer,2021-06-17 00:00:00,Yes,1 day,150
116,Cape Winelands,Stellenbosch Municipality,Groendal Community Hall,Temporary outreach site,Pfizer,2021-06-18 00:00:00,Yes,1 day,150
117,Cape Winelands,Stellenbosch Municipality,Van Der Stel Sports Grounds,Temporary outreach site,Pfizer,2021-05-31 00:00:00,yes,5 days,250
118,Cape Winelands,Stellenbosch Municipality,Kayamandi Corridor,Temporary outreach site,Pfizer,2021-06-14 00:00:00,Yes,1 day,150
119,Cape Winelands,Stellenbosch Municipality,Eikestad Hall,Temporary outreach site,Pfizer,2021-06-14 00:00:00,Yes,1 day,150
120,Cape Winelands,Witzenberg Municipality,Ceres Hospital,Primary vaccination site,Pfizer,2021-05-31 00:00:00,Yes,5 days,250
121,Cape Winelands,Witzenberg Municipality,Prince Alfred Hamlet Clinic,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,1 day,150
122,Cape Winelands,Witzenberg Municipality,Op die Berg Clinic,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,1 day,150
123,Cape Winelands,Witzenberg Municipality,Tulbagh Clinic,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,1 day,150
124,Cape Winelands,Witzenberg Municipality,Wolseley Clinic,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,1 day,150
125,Cape Winelands,Witzenberg Municipality,Nduli Clinic,Temporary outreach site,Pfizer,2021-06-28 00:00:00,Yes,1 day,150
126,Cape Winelands,Witzenberg Municipality,Bella Vista Clinic,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,1 day,150
127,Central Karoo,Beaufort West Municipality,Merweville Satellite Clinic,Temporary outreach site,Pfizer,2021-06-23 00:00:00,Yes,1 day,10
128,Central Karoo,Beaufort West Municipality,Hillside Clinic,Temporary outreach site,Pfizer,2021-06-15 00:00:00,Yes,5 days,100
129,Central Karoo,Beaufort West Municipality,Beaufort West CDC,Temporary outreach site,Pfizer,2021-06-11 00:00:00,Yes,5 days,100
130,Central Karoo,Beaufort West Municipality,Kwamandlenkosi Clinic,Temporary outreach site,Pfizer,2021-06-14 00:00:00,Yes,5 days,100
131,Central Karoo,Beaufort West Municipality,Nieuveldpark Clinic,Temporary outreach site,Pfizer,2021-06-10 00:00:00,Yes,5 days,100
132,Central Karoo,Beaufort West Municipality,Nelspoort Clinic,Temporary outreach site,Pfizer,2021-06-17 00:00:00,Yes,1 day,10
133,Central Karoo,Beaufort West Municipality,Murraysburg Clinic,Primary vaccination site,Pfizer,2021-07-02 00:00:00,Yes,5 days,50
134,Central Karoo,Laingsburg Municipality,Matjiesfontein Satellite Clinic,Temporary outreach site,Pfizer,2021-07-02 00:00:00,Yes,1 day,0
135,Central Karoo,Laingsburg Municipality,Laingsburg Clinic,Primary vaccination site,Pfizer,2021-06-14 00:00:00,Yes,5 days,100
136,Central Karoo,Prince Albert Municipality,Prince Albert Clinic,Primary vaccination site,Pfizer,2021-06-15 00:00:00,Yes,5 days,100
137,Central Karoo,Prince Albert Municipality,Klaarstroom Satellite Clinic,Temporary outreach site,Pfizer,2021-07-01 00:00:00,Yes,1 day,10
138,Central Karoo,Prince Albert Municipality,Leeu-Gamka Clinic,Temporary outreach site,Pfizer,2021-06-15 00:00:00,Yes,1 day,20
139,Garden Route,Bitou Municipality,Plettenberg Bay Clinic,Temporary outreach site,Pfizer,2021-06-02 00:00:00,Yes,5 days,150
140,Garden Route,Bitou Municipality,Kwanokuthula CDC,Primary vaccination site,Pfizer,2021-06-14 00:00:00,Yes,3 days,150
141,Garden Route,Bitou Municipality,Crags Clinic,Temporary outreach site,Pfizer,2021-06-21 00:00:00,Yes,1 day,120
142,Garden Route,Bitou Municipality,Kranshoek Clinic,Temporary outreach site,Pfizer,2021-06-21 00:00:00,Yes,1 day,150
143,Garden Route,George Municipality,Harry Comay TB Hospital,Primary vaccination site,Pfizer,2021-06-02 00:00:00,Yes,5 days,350
144,Garden Route,George Municipality,Thembalethu CDC,Primary vaccination site,Pfizer,2021-06-03 00:00:00,Yes,5 days,350
145,Garden Route,George Municipality,George Central Clinic,Temporary outreach site,Pfizer,2021-06-03 00:00:00,Yes,5 days,150
146,Garden Route,George Municipality,Uniondale Hospital,Primary vaccination site,Pfizer,2021-06-07 00:00:00,Yes,5 days,50
147,Garden Route,George Municipality,George Mobile 1,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,5 days,100
148,Garden Route,George Municipality,Pacaltsdorp Clinic,Primary vaccination site,Pfizer,2021-06-07 00:00:00,Yes,5 days,50
149,Garden Route,Hessequa Municipality,Riversdale Civic Centre,Temporary outreach site,Pfizer,2021-06-03 00:00:00,Yes,5 days,100
150,Garden Route,Hessequa Municipality,Heidelberg Duivenhoks Hall,Temporary outreach site,Pfizer,2021-06-09 00:00:00,Yes,3 days,100
151,Garden Route,Hessequa Municipality,Albertinia Theronsville Hall,Temporary outreach site,Pfizer,2021-06-10 00:00:00,Yes,2 days,100
152,Garden Route,Hessequa Municipality,Melkhoutfontein Satellite Clinic,Temporary outreach site,Pfizer,2021-06-09 00:00:00,Yes,1 day,100
153,Garden Route,Hessequa Municipality,Still Bay Civic Centre,Temporary outreach site,Pfizer,2021-06-10 00:00:00,Yes,4 days,100
154,Garden Route,Hessequa Municipality,Slangrivier Satellite Clinic,Temporary outreach site,Pfizer,2021-06-11 00:00:00,Yes,1 day,40
155,Garden Route,Hessequa Municipality,Witsand de Duine Hall,Temporary outreach site,Pfizer,2021-06-08 00:00:00,Yes,3 days,35
156,Garden Route,Hessequa Municipality,Gouritsmond Hall,Temporary outreach site,Pfizer,2021-06-22 00:00:00,Yes,2 days,70
157,Garden Route,Kannaland Municipality,Ladismith DRC Church Hall,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,2 days,200
158,Garden Route,Kannaland Municipality,Zoar Sports Club,Temporary outreach site,Pfizer,2021-06-02 00:00:00,Yes,1 day,200
159,Garden Route,Kannaland Municipality,Calitzdorp DRC Church Hall,Temporary outreach site,Pfizer,2021-06-04 00:00:00,Yes,2 days,200
160,Garden Route,Kannaland Municipality,Van Wyksdorp Kerksaal,Temporary outreach site,Pfizer,2021-06-08 00:00:00,Yes,1 day,150
161,Garden Route,Knysna Municipality,Knysna CDC,Temporary outreach site,Pfizer,2021-06-21 00:00:00,Yes,5 days,100
162,Garden Route,Knysna Municipality,Knysna Town Hall,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,5 days,200
163,Garden Route,Knysna Municipality,Sedgefield Clinic,Temporary outreach site,Pfizer,2021-06-15 00:00:00,Yes,2 days,100
164,Garden Route,Knysna Municipality,Keurhoek Satellite Clinic,Temporary outreach site,Pfizer,2021-06-18 00:00:00,Yes,1 day,50
165,Garden Route,Knysna Municipality,Karatara Satellite Clinic,Temporary outreach site,Pfizer,2021-06-14 00:00:00,Yes,1 day,50
166,Garden Route,Mossel Bay Municipality,Alma CDC,Temporary outreach site,Pfizer,2021-06-04 00:00:00,Yes,4 days,300
167,Garden Route,Mossel Bay Municipality,Wolwedans Community Hall,Temporary outreach site,Pfizer,2021-06-14 00:00:00,Yes,4 days,200
168,Garden Route,Mossel Bay Municipality,Mossel Bay Town Hall,Temporary outreach site,Pfizer,2021-06-14 00:00:00,Yes,4 days,300
169,Garden Route,Mossel Bay Municipality,Mossel Bay Outreach Mobile,Temporary outreach site,Pfizer,2021-05-31 00:00:00,Yes,4 days,200
170,Garden Route,Mossel Bay Municipality,D'Almeida Community Hall,Temporary outreach site,Pfizer,2021-06-07 00:00:00,Yes,4 days,300
171,Garden Route,Oudtshoorn Municipality,Toekomsrust Community Hall,Temporary outreach site,Pfizer,2021-06-21 00:00:00,Yes,5 days,300
172,Garden Route,Oudtshoorn Municipality,Dysselsdorp Clinic,Temporary outreach site,Pfizer,2021-06-15 00:00:00,Yes,1 day,100
173,Garden Route,Oudtshoorn Municipality,De Rust (Blommenek) Clinic,Temporary outreach site,Pfizer,2021-06-17 00:00:00,Yes,1 day,100
174,Garden Route,Oudtshoorn Municipality,Oudtshoorn Clinic,Temporary outreach site,Pfizer,2021-07-05 00:00:00,Yes,5 days,100
175,Overberg,Cape Agulhas Municipality,Bredasdorp Glaskasteel,Temporary outreach site,Pfizer,2021-06-16 00:00:00,Yes,1 day,32
176,Overberg,Cape Agulhas Municipality,Nelson Mandela Hall,Temporary outreach site,Pfizer,2021-06-14 00:00:00,Yes,1 day,32
177,Overberg,Cape Agulhas Municipality,Bredasdorp Mobile 1,Temporary outreach site,Pfizer,2021-06-09 00:00:00,Yes,1 day,32
