,Unnamed: 0,District,Sub-District,Vaccination Site Name,Type of site,Pfizer or J&J,Start Date,Site Active (Yes/No),Open Days per week,Capacity per day,Latitude,Longitude,Municipality,DISTRICT_N,DISTRICT_C
136,136,A Nzo DM,Mbizana LM,ec Mpetsheni Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-31.92743,27.34241,Mbizana,Alfred Nzo,DC44
137,137,A Nzo DM,Mbizana LM,ec Ndela Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-32.20634,28.15084,Mbizana,Alfred Nzo,DC44
138,138,A Nzo DM,Mbizana LM,ec Qobo Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-33.80485,25.36641,Mbizana,Alfred Nzo,DC44
139,139,A Nzo DM,Mbizana LM,ec Mfundambini Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-30.93544,29.67993,Mbizana,Alfred Nzo,DC44
140,140,A Nzo DM,Mbizana LM,ec Meje Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Mbizana,Alfred Nzo,DC44
141,141,A Nzo DM,Mbizana LM,ec Kanyayo (Bizana) Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-31.59305,29.37829,Mbizana,Alfred Nzo,DC44
142,142,A Nzo DM,Mbizana LM,ec Daliwonga Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-31.91919,26.95343,Mbizana,Alfred Nzo,DC44
143,143,A Nzo DM,Mbizana LM,ec Amandengane Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-31.92743,27.34241,Mbizana,Alfred Nzo,DC44
144,144,C Hani DM,Enoch Mgijima LM,ec Sterkstroom Clinic,Clinic,Pfizer,2021-07-12 00:00:00,Yes,5 days,80.0,-31.90713,26.96298,Enoch Mgijima,Chris Hani,DC13
145,145,C Hani DM,Enoch Mgijima LM,ec Masakhe Clinic,Clinic,Pfizer,2021-07-26 00:00:00,To start next week,5 days,80.0,-31.55635,26.56797,Enoch Mgijima,Chris Hani,DC13
146,146,Joe Gqabi DM,Walter Sisulu LM,ec Khayamnandi Clinic,Clinic,J&J,2021-05-25 00:00:00,Yes,5 days,80.0,-30.6953,25.77361,Walter Sisulu,Joe Gqabi,DC14
147,147,C Hani DM,Enoch Mgijima LM,ec Eluxolweni Clinic,Clinic,Pfizer,2021-07-26 00:00:00,To start next week,5 days,80.0,-32.161,26.5943,Enoch Mgijima,Chris Hani,DC13
148,148,C Hani DM,Enoch Mgijima LM,ec Hofmeyer Clinic,Clinic,Pfizer,2021-07-19 00:00:00,To start next week,5 days,80.0,-31.90713,26.96298,Enoch Mgijima,Chris Hani,DC13
149,149,Joe Gqabi DM,Walter Sisulu LM,ec Venterstad Clinic,Clinic,J&J,2021-05-26 00:00:00,Yes,5 days,80.0,-30.77621,25.79941,Walter Sisulu,Joe Gqabi,DC14
150,150,Amathole DM,Mbhashe LM,ec Nyhwara Clinic,Clinic,J&J,2021-06-13 00:00:00,Yes,5 days,40.0,-31.9588,28.35053,Mbhashe,Amathole,DC12
151,151,Amathole DM,Ngqushwa LM,ec Peddie Extension Clinic,Clinic,J&J,2021-06-15 00:00:00,Yes,5 days,40.0,-28.996320724487305,25.087142944335938,Ngqushwa,Amathole,DC12
152,152,Amathole DM,Raymond Mhlaba LM,ec Perksdale Clinic,Clinic,J&J,2021-07-09 00:00:00,Yes,5 days,40.0,-32.59419,26.93739,Raymond Mhlaba,Amathole,DC12
153,153,Amathole DM,Amahlathi LM,ec Philani Clinic (King William's Town),Clinic,J&J,2021-06-15 00:00:00,Yes,5 days,40.0,-32.90016,27.40769,Amahlathi,Amathole,DC12
154,154,Amathole DM,Ngqushwa LM,ec Pikholi Clinic,Clinic,J&J,2021-06-10 00:00:00,Yes,5 days,40.0,-28.996320724487305,25.087142944335938,Ngqushwa,Amathole,DC12
155,155,Sarah Baartman DM,Sundays River Valley LM,ec Kirkwood Clinic,Clinic,Pfizer,2020-07-05 00:00:00,Yes,5 days,80.0,-33.39787,25.48392,Sundays River Valley,Sarah Baartman,DC10
156,156,Sarah Baartman DM,Sundays River Valley LM,ec Bergsig Clinic,Clinic,Pfizer,2020-07-22 00:00:00,To start next week,5 days,80.0,-33.39787,25.48392,Sundays River Valley,Sarah Baartman,DC10
157,157,Sarah Baartman DM,Sundays River Valley LM,ec Moses Mabida Clinic,Clinic,Pfizer,2020-07-05 00:00:00,Yes,5 days,80.0,-33.39787,25.48392,Sundays River Valley,Sarah Baartman,DC10
158,158,Sarah Baartman DM,Sundays River Valley LM,ec Lukhanyiso Clinic,Clinic,Pfizer,2020-07-05 00:00:00,Yes,5 days,80.0,-33.39787,25.48392,Sundays River Valley,Sarah Baartman,DC10
159,159,Sarah Baartman DM,Sundays River Valley LM,ec Addo Clinic,Clinic,Pfizer,2020-07-05 00:00:00,Yes,5 days,80.0,-33.55397,25.70273,Sundays River Valley,Sarah Baartman,DC10
160,160,Sarah Baartman DM,Sundays River Valley LM,ec Kwazenzele Clinic,Clinic,Pfizer,2020-07-05 00:00:00,Yes,5 days,80.0,-33.44611,25.97279,Sundays River Valley,Sarah Baartman,DC10
161,161,Amathole DM,Raymond Mhlaba LM,ec Qibira Clinic,Clinic,J&J,2021-07-21 00:00:00,To start next week,5 days,40.0,-32.94255,27.03404,Raymond Mhlaba,Amathole,DC12
162,162,Amathole DM,Mnquma LM,ec Qina Clinic,Clinic,J&J,2020-07-07 00:00:00,Yes,5 days,40.0,-32.44535,28.2078,Mnquma,Amathole,DC12
163,163,Amathole DM,Mbhashe LM,ec Qwaninga Clinic,Clinic,J&J,2021-07-25 00:00:00,To start next week,5 days,40.0,-32.36541,28.57297,Mbhashe,Amathole,DC12
164,164,Amathole DM,Amahlathi LM,ec Rabula Clinic,Clinic,J&J,2021-06-22 00:00:00,Yes,5 days,40.0,-32.78699,27.1729,Amahlathi,Amathole,DC12
165,165,O Tambo DM,King Sabata Dalindyebo LM,ec Centuli Clinic,Clinic,J&J,2021-06-16 00:00:00,Yes,5 days,40.0,-31.6878,28.55425,King Sabata Dalindyebo,O.R.Tambo,DC15
166,166,Amathole DM,Ngqushwa LM,ec Robert Mbelekana Clinic,Clinic,J&J,2021-06-10 00:00:00,Yes,5 days,40.0,-33.31734,27.34098,Ngqushwa,Amathole,DC12
167,167,Amathole DM,Raymond Mhlaba LM,ec Rwarwa Clinic,Clinic,J&J,2021-07-21 00:00:00,To start next week,5 days,40.0,-32.74435,26.90895,Raymond Mhlaba,Amathole,DC12
168,168,Amathole DM,Raymond Mhlaba LM,ec Sheshegu Clinic,Clinic,J&J,2021-07-22 00:00:00,To start next week,5 days,40.0,-32.9129,26.82104,Raymond Mhlaba,Amathole,DC12
169,169,Amathole DM,Mbhashe LM,ec Soga Clinic,Clinic,J&J,2021-07-01 00:00:00,Yes,5 days,40.0,-32.14504,28.41468,Mbhashe,Amathole,DC12
170,170,Amathole DM,Great Kei LM,ec Soto Clinic,Clinic,J&J,2021-06-07 00:00:00,Yes,5 days,40.0,-32.69251,28.12752,Great Kei,Amathole,DC12
171,171,Amathole DM,Amahlathi LM,ec St Matthew's Clinic,Clinic,J&J,2020-07-02 00:00:00,Yes,5 days,40.0,-32.65709,27.17701,Amahlathi,Amathole,DC12
172,172,Amathole DM,Amahlathi LM,ec Stutterheim Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Amahlathi,Amathole,DC12
173,173,Amathole DM,Mbhashe LM,ec Sundwana Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-32.14504,28.41468,Mbhashe,Amathole,DC12
174,174,Joe Gqabi DM,Elundini LM,ec Bethania Clinic,Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0,-30.65814,28.30163,Elundini,Joe Gqabi,DC14
175,175,Joe Gqabi DM,Elundini LM,ec Seqhobong Clinic,Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0,-30.43405,28.42265,Elundini,Joe Gqabi,DC14
176,176,Joe Gqabi DM,Elundini LM,ec Tayler Bequest Gateway Clinic (Elundini),Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0,-31.16595,28.48448,Elundini,Joe Gqabi,DC14
177,177,Joe Gqabi DM,Elundini LM,ec Ulundi Clinic,Clinic,J&J,2021-07-19 00:00:00,Electricity problems,5 days,80.0,-30.6354,28.22574,Elundini,Joe Gqabi,DC14
178,178,A Nzo DM,Matatiele LM,ec Isilindini Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Matatiele,Alfred Nzo,DC44
179,179,A Nzo DM,Matatiele LM,ec Umtumase Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Matatiele,Alfred Nzo,DC44
180,180,Joe Gqabi DM,Elundini LM,ec Kungisizwe Clinic,Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0,-31.16595,28.48448,Elundini,Joe Gqabi,DC14
181,181,Joe Gqabi DM,Elundini LM,ec Mangoloaneng Clinic,Clinic,J&J,2021-07-09 00:00:00,Yes,5 days,80.0,-30.52184,28.45742,Elundini,Joe Gqabi,DC14
182,182,A Nzo DM,Umzimvubu LM,ec Machibini Clinic (Kwabhaca),Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-30.72751,28.72292,Umzimvubu,Alfred Nzo,DC44
183,183,A Nzo DM,Umzimvubu LM,ec Luyengweni Clinic,Clinic,J&J,2021-07-30 00:00:00,To start next week,5 days,40.0,-30.63449,28.77777,Umzimvubu,Alfred Nzo,DC44
184,184,A Nzo DM,Matatiele LM,ec Paballong Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Matatiele,Alfred Nzo,DC44
185,185,Joe Gqabi DM,Elundini LM,ec Lower Tsitsana Clinic,Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0,-28.996320724487305,25.087142944335938,Elundini,Joe Gqabi,DC14
186,186,A Nzo DM,Matatiele LM,ec Thabachicha Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Matatiele,Alfred Nzo,DC44
187,187,A Nzo DM,Matatiele LM,ec Magadla Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-30.25465,28.71224,Matatiele,Alfred Nzo,DC44
188,188,A Nzo DM,Matatiele LM,ec Shepherds Hope Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-30.56183,28.67929,Matatiele,Alfred Nzo,DC44
189,189,A Nzo DM,Matatiele LM,ec Afsondering Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Matatiele,Alfred Nzo,DC44
190,190,A Nzo DM,Matatiele LM,ec Queen's Mercy Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-30.26245,28.54629,Matatiele,Alfred Nzo,DC44
191,191,A Nzo DM,Matatiele LM,ec Likhetlane Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Matatiele,Alfred Nzo,DC44
192,192,A Nzo DM,Matatiele LM,ec Madlangala Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Matatiele,Alfred Nzo,DC44
193,193,A Nzo DM,Matatiele LM,ec Mzongwana Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Matatiele,Alfred Nzo,DC44
194,194,A Nzo DM,Matatiele LM,ec Mpharane Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Matatiele,Alfred Nzo,DC44
195,195,Joe Gqabi DM,Senqu LM,ec Umlamli Gateway Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,80.0,-30.55225,27.45792,Senqu,Joe Gqabi,DC14
196,196,Joe Gqabi DM,Senqu LM,ec Hillside Clinic (Senqu),Clinic,J&J,2021-07-05 00:00:00,Yes,5 days,80.0,-30.56225,27.57666,Senqu,Joe Gqabi,DC14
197,197,Joe Gqabi DM,Senqu LM,ec Musong Clinic,Clinic,J&J,2021-07-29 00:00:00,To start next week,5 days,80.0,-28.996320724487305,25.087142944335938,Senqu,Joe Gqabi,DC14
198,198,Joe Gqabi DM,Senqu LM,ec Pelandaba Clinic,Clinic,J&J,2021-07-12 00:00:00,Yes,5 days,80.0,-30.64205,27.56043,Senqu,Joe Gqabi,DC14
199,199,Joe Gqabi DM,Senqu LM,ec Palmietfontein Clinic,Clinic,J&J,2021-06-28 00:00:00,Yes,5 days,80.0,-28.996320724487305,25.087142944335938,Senqu,Joe Gqabi,DC14
200,200,Amathole DM,Mbhashe LM,ec Taleni Clinic,Clinic,J&J,2021-07-13 00:00:00,Yes,5 days,40.0,-28.996320724487305,25.087142944335938,Mbhashe,Amathole,DC12
201,201,Amathole DM,Raymond Mhlaba LM,ec Thozamile Madakana Clinic,Clinic,J&J,2021-07-27 00:00:00,To start next week,5 days,40.0,-32.59419,26.93739,Raymond Mhlaba,Amathole,DC12
202,202,Amathole DM,Ngqushwa LM,ec Tyata Clinic,Clinic,J&J,2021-06-17 00:00:00,Yes,5 days,40.0,-33.07357,27.36097,Ngqushwa,Amathole,DC12
203,203,Amathole DM,Raymond Mhlaba LM,ec Upper Ncera Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0,-32.75609,26.92199,Raymond Mhlaba,Amathole,DC12
204,204,Amathole DM,Mbhashe LM,ec Vukukhanye Gateway Clinic,Clinic,J&J,2021-06-21 00:00:00,Yes,5 days,40.0,-32.14504,28.41468,Mbhashe,Amathole,DC12
205,205,Amathole DM,Raymond Mhlaba LM,ec War Memorial Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-32.59419,26.93739,Raymond Mhlaba,Amathole,DC12
206,206,Amathole DM,Amahlathi LM,ec Wartburg Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Amahlathi,Amathole,DC12
207,207,Amathole DM,Raymond Mhlaba LM,ec Washington Clinic,Clinic,J&J,2021-06-07 00:00:00,Yes,5 days,40.0,-32.59419,26.93739,Raymond Mhlaba,Amathole,DC12
208,208,Amathole DM,Ngqushwa LM,ec Wesley Clinic,Clinic,J&J,2021-06-09 00:00:00,Yes,5 days,40.0,-33.31734,27.34098,Ngqushwa,Amathole,DC12
209,209,Amathole DM,Amahlathi LM,ec Zalara Clinic,Clinic,J&J,2020-07-09 00:00:00,Yes,5 days,40.0,-28.996320724487305,25.087142944335938,Amahlathi,Amathole,DC12
210,210,Amathole DM,Mnquma LM,ec Zazulwana Clinic,Clinic,J&J,2020-07-15 00:00:00,Yes,5 days,40.0,-32.50866,28.31928,Mnquma,Amathole,DC12
211,211,N Mandela Bay MM,N Mandela B SD,ec Masakhane Clinic (N Mandela Metro),Clinic,Pfizer,2021-06-22 00:00:00,Yes,5 days,80.0,-34.01584,18.65367,Nelson Mandela Bay,Nelson Mandela Bay,NMA
212,212,C Hani DM,Inxuba Yethemba LM,ec Middelburg Clinic,Clinic,Pfizer,2021-07-26 00:00:00,To start next week,5 days,80.0,-31.50884,25.02546,Inxuba Yethemba,Chris Hani,DC13
213,213,C Hani DM,Inxuba Yethemba LM,ec Kwanonzame New Clinic,Clinic,Pfizer,2021-07-26 00:00:00,To start next week,5 days,80.0,-28.996320724487305,25.087142944335938,Inxuba Yethemba,Chris Hani,DC13
214,214,C Hani DM,Inxuba Yethemba LM,ec Kwanonzame Old Clinic,Clinic,Pfizer,2021-07-26 00:00:00,To start next week,5 days,80.0,-28.996320724487305,25.087142944335938,Inxuba Yethemba,Chris Hani,DC13
215,215,C Hani DM,Inxuba Yethemba LM,ec Midros Clinic,Clinic,Pfizer,2021-07-26 00:00:00,To start next week,5 days,80.0,-31.51216,25.00748,Inxuba Yethemba,Chris Hani,DC13
216,216,Sarah Baartman DM,Dr B NaudÂ‚ LM,ec Willowmore Clinic,Clinic,J&J,2020-07-22 00:00:00,To start next week,5 days,80.0,-33.3272,24.34468,Dr Beyers Naude,Sarah Baartman,DC10
217,217,Sarah Baartman DM,Dr B NaudÂ‚ LM,ec Rietbron Clinic,Clinic,J&J,2020-07-22 00:00:00,To start next week,5 days,80.0,-32.90027,23.15129,Dr Beyers Naude,Sarah Baartman,DC10
218,218,Sarah Baartman DM,Kou-Kamma LM,ec Misgund Clinic,Clinic,Pfizer,2020-07-22 00:00:00,To start next week,5 days,80.0,-33.82128,23.85373,Kou-Kamma,Sarah Baartman,DC10
219,219,Sarah Baartman DM,Kou-Kamma LM,ec Louterwater Clinic,Clinic,J&J,2020-07-22 00:00:00,To start next week,5 days,80.0,-33.78986,23.63106,Kou-Kamma,Sarah Baartman,DC10
220,220,Sarah Baartman DM,Kou-Kamma LM,ec Krakeel Clinic,Clinic,J&J,2020-07-22 00:00:00,To start next week,5 days,80.0,-33.81767,23.73516,Kou-Kamma,Sarah Baartman,DC10
221,221,O Tambo DM,King Sabata Dalindyebo LM,ec Zitulele Gateway Clinic,Clinic,J&J,2021-06-16 00:00:00,Yes,5 days,40.0,-31.73637,28.46856,King Sabata Dalindyebo,O.R.Tambo,DC15
222,222,O Tambo DM,King Sabata Dalindyebo LM,ec Nzulwini Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-31.73637,28.46856,King Sabata Dalindyebo,O.R.Tambo,DC15
223,223,Amathole DM,Raymond Mhlaba LM,ec Zigodlo Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-32.98034,27.0753,Raymond Mhlaba,Amathole,DC12
224,224,Amathole DM,Raymond Mhlaba LM,ec Zihlahleni Clinic,Clinic,J&J,2021-07-08 00:00:00,Yes,5 days,40.0,-32.8534,27.16862,Raymond Mhlaba,Amathole,DC12
225,225,O Tambo DM,King Sabata Dalindyebo LM,ec Zidindi Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-31.73637,28.46856,King Sabata Dalindyebo,O.R.Tambo,DC15
226,226,O Tambo DM,King Sabata Dalindyebo LM,ec Tshezi Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-31.73637,28.46856,King Sabata Dalindyebo,O.R.Tambo,DC15
227,227,O Tambo DM,King Sabata Dalindyebo LM,ec Mapuzi Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-31.73637,28.46856,King Sabata Dalindyebo,O.R.Tambo,DC15
228,228,Sarah Baartman DM,Kouga LM,ec Settlers day Hospital,Hospital,J&J,2021-07-09 00:00:00,Yes,5 days,,-34.16166,24.82708,Kouga,Sarah Baartman,DC10
229,0,Cape Town MM,CT Western SD,4 Dorp Street City Centre,Temporary Outreach Site,J&J,2021-07-01 00:00:00,yes,5 days,500,-33.87763,18.57683,,City of Cape Town,CPT
230,1,Cape Town MM,CT Western SD,Alexandra Hospital,Primary vaccination site,Pfizer,2021-07-06 00:00:00,yes,5 days,300,-34.1178,18.83311,,City of Cape Town,CPT
231,2,Cape Town MM,CT Khayelitsha SD,Andile MsiziCommunity Hall,Temporary Outreach Site,Pfizer,2021-01-07 00:00:00,yes,5 days,400,-34.06149,18.69097,,City of Cape Town,CPT
232,3,Cape Town MM,CT Mitch Plain SD,Beaconvale Frail Care Centre,Temporary Outreach Site,Pfizer,2021-05-31 00:00:00,yes,5 days,250,-34.0596,18.62563,,City of Cape Town,CPT
233,4,Cape Town MM,CT Tygerberg SD,Bishop Lavis CDC,Primary vaccination site,Pfizer,2021-05-31 00:00:00,yes,5 days,100,-33.94842,18.58113,,City of Cape Town,CPT
234,5,Cape Town MM,CT Northern SD,Bothasig CDC,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,50,-28.996320724487305,25.087142944335938,,City of Cape Town,CPT
235,6,Cape Town MM,CT Western SD,Brooklyn Chest Hospital,Primary vaccination site,Pfizer,2021-05-17 00:00:00,yes,5 days,300,-34.1178,18.83311,,City of Cape Town,CPT
236,7,Cape Town MM,CT Tygerberg SD,CCT Adriaanse Clinic,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,100,-33.94216,18.59054,,City of Cape Town,CPT
237,8,Cape Town MM,CT Northern SD,CCT Brackenfell Hall,Temporary Outreach site,Pfizer,2021-05-17 00:00:00,yes,5 days,300,-33.87454,18.71277,,City of Cape Town,CPT
238,9,Cape Town MM,CT Tygerberg SD,CCT Chestnut Satellite Clinic,Temporary Outreach site,Pfizer,2021-05-24 00:00:00,yes,4 days,100,-28.996320724487305,25.087142944335938,,City of Cape Town,CPT
239,10,Cape Town MM,CT Eastern SD,CCT Eerste River Clinic,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,200,-28.996320724487305,25.087142944335938,,City of Cape Town,CPT
240,11,Cape Town MM,CT Eastern SD,CCT Ikhwezi CDC,Primary vaccination site,Pfizer,2021-06-02 00:00:00,yes,5 days,150,-33.82368,25.65671,,City of Cape Town,CPT
241,12,Cape Town MM,CT Khayelitsha SD,CCT Kuyasa Public Library,Temporary Outreach site,Pfizer,2021-05-24 00:00:00,yes,5 days,150,-28.996320724487305,25.087142944335938,,City of Cape Town,CPT
242,13,Cape Town MM,CT Southern SD,CCT Ocean View Civic Centre,Temporary Outreach site,Pfizer,2021-05-24 00:00:00,yes,5 days,100,-34.1471,18.35396,,City of Cape Town,CPT
243,14,Cape Town MM,CT Klipfontein SD,CCT Ruimte Road Satellite Clinic,Temporary Outreach site,Pfizer,2021-05-24 00:00:00,yes,5 days,100,-34.61116,19.3644,,City of Cape Town,CPT
244,15,Cape Town MM,CT Eastern SD,CCT Sarepta Clinic,Primary vaccination site,Pfizer,2021-06-03 00:00:00,yes,5 days,100,-33.82368,25.65671,,City of Cape Town,CPT
245,16,Cape Town MM,CT Eastern SD,CCT Sir Lowry's Pass CDC,Primary vaccination site,Pfizer,2021-06-02 00:00:00,yes,5 days,100,-34.1171,18.90908,,City of Cape Town,CPT
246,17,Cape Town MM,CT Mitch Plain SD,CCT Tafelsig Thusong Centre,Temporary Outreach site,Pfizer,2021-05-24 00:00:00,yes,5 days,100,-34.0596,18.62563,,City of Cape Town,CPT
247,18,Cape Town MM,CT Eastern SD,Charles Morkel Hall,Temporary Outreach site,Pfizer,2021-07-01 00:00:00,yes,5 days,200,-33.58986,26.90428,,City of Cape Town,CPT
248,19,Cape Town MM,CT Tygerberg SD,CPUT Bellville,Temporary Outreach Site,Pfizer,2021-07-06 00:00:00,yes,5 days,500,-33.84053,18.609,,City of Cape Town,CPT
249,20,Cape Town MM,CT Mitch Plain SD,Crossroads Hall,Temporary Outreach site,Pfizer,2021-07-05 00:00:00,yes,5 days,150,-34.0596,18.62563,,City of Cape Town,CPT
250,21,Cape Town MM,CT Western SD,CTICC Vaccination Centre of Hope,Fixed Outreach site,Pfizer,2021-07-07 00:00:00,yes,5 days,4000,-34.1024,18.82722,,City of Cape Town,CPT
251,22,Cape Town MM,CT Tygerberg SD,Delft CHC,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,150,-34.08371,18.475,,City of Cape Town,CPT
252,23,Cape Town MM,CT Tygerberg SD,Disa Hall Tygerberg Hospital,Temporary Outreach Site,J&J,2021-09-06 00:00:00,yes,5 days,800,-28.996320724487305,25.087142944335938,,City of Cape Town,CPT
253,24,Cape Town MM,CT Western SD,District Six CDC,Primary vaccination site,Pfizer,2021-01-06 00:00:00,yes,5 days,120,-33.92817,18.42916,,City of Cape Town,CPT
254,25,Cape Town MM,CT Southern SD,Dominican Grimley School Hall,Temporary Outreach site,Pfizer,2021-06-09 00:00:00,yes,5 days,240,-26.2423,28.06741,,City of Cape Town,CPT
255,26,Cape Town MM,CT Southern SD,DP Marais Hospital,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,350,-34.34086,19.00857,,City of Cape Town,CPT
256,27,Cape Town MM,CT Western SD,Du Noon CHC,Primary vaccination site,Pfizer,2021-06-01 00:00:00,yes,5 days,100,-34.09831,18.83443,,City of Cape Town,CPT
257,28,Cape Town MM,CT Northern SD,Durbanville CDC,Primary vaccination site,Pfizer,2021-05-24 00:00:00,yes,5 days,50,-28.996320724487305,25.087142944335938,,City of Cape Town,CPT
258,29,Cape Town MM,CT Eastern SD,Eerste River Hospital,Primary vaccination site,Pfizer,2021-06-07 00:00:00,yes,5 days,200,-33.39787,25.48392,,City of Cape Town,CPT
259,30,Cape Town MM,CT Tygerberg SD,Elsies River CHC,Primary vaccination site,Pfizer,2021-05-31 00:00:00,yes,5 days,150,-33.92454,18.5696,,City of Cape Town,CPT
260,31,Cape Town MM,CT Southern SD,False Bay Hospital,Primary vaccination site,Pfizer,2021-05-31 00:00:00,yes,5 days,240,-34.07973,18.51986,,City of Cape Town,CPT
261,32,Cape Town MM,CT Eastern SD,Garden Village Hall Somerset West,Temporary Outreach site,Pfizer,2021-07-12 00:00:00,yes,5 days,150,-34.08804,18.83882,,City of Cape Town,CPT
262,33,Cape Town MM,CT Tygerberg SD,Goodwood Hall,Temporary Outreach Site,Pfizer,2021-07-02 00:00:00,yes,5 days,500,-33.87304,18.53665,,City of Cape Town,CPT
263,34,Cape Town MM,CT Klipfontein SD,Gugulethu CHC,Primary vaccination site,Pfizer,2021-05-31 00:00:00,yes,6 days,50,-34.61298,19.36874,,City of Cape Town,CPT
264,35,Cape Town MM,CT Eastern SD,Gustrouw CDC,Primary vaccination site,Pfizer,2021-05-31 00:00:00,yes,5 days,150,-34.13267,18.86632,,City of Cape Town,CPT
265,36,Cape Town MM,CT Klipfontein SD,Hanover Park CDC,Primary vaccination site,Pfizer,2021-05-17 00:00:00,yes,5 days,150,-33.9946,18.52763,,City of Cape Town,CPT
266,37,Cape Town MM,CT Klipfontein SD,Heideveld CHC,Primary vaccination site,Pfizer,2021-05-17 00:00:00,yes,5 days,50,-34.61298,19.36874,,City of Cape Town,CPT
267,38,Cape Town MM,CT Eastern SD,Helderberg Hospital,Primary vaccination site,Pfizer,2021-05-17 00:00:00,yes,5 days,200,-34.12744,18.85605,,City of Cape Town,CPT
268,39,Cape Town MM,CT Western SD,Hope Street Dental,Temporary Outreach Site,Pfizer,2021-05-24 00:00:00,yes,5 days,200,-34.1024,18.82722,,City of Cape Town,CPT
269,40,Cape Town MM,CT Klipfontein SD,Ikhwezi Community Hall,Temporary Outreach Site,Pfizer,2021-05-07 00:00:00,yes,5 days,200,-29.57958,30.38882,,City of Cape Town,CPT
270,41,Cape Town MM,CT Mitch Plain SD,Inzama Zabantu CDC,Primary vaccination site,Pfizer,2021-05-17 00:00:00,yes,5 days,100,-28.996320724487305,25.087142944335938,,City of Cape Town,CPT
271,42,Cape Town MM,CT Tygerberg SD,Karl Bremer Hospital,Primary vaccination site,Pfizer,2021-05-17 00:00:00,yes,5 days,200,-27.99063,26.75325,,City of Cape Town,CPT
272,43,Cape Town MM,CT Western SD,Kensington CDC,Primary vaccination site,Pfizer,2021-06-01 00:00:00,yes,5 days,100,-34.1178,18.83311,,City of Cape Town,CPT
273,44,Cape Town MM,CT Klipfontein SD,Kewtown New Apostolic Church,Temporary Outreach Site,Pfizer,2021-05-17 00:00:00,yes,5 days,150,-28.996320724487305,25.087142944335938,,City of Cape Town,CPT
